Package	Version	LibPath
future	1.70.0	/usr/local/lib/R/site-library
future.apply	1.20.2	/usr/local/lib/R/site-library
gargle	1.6.1	/usr/local/lib/R/site-library
gdtools	0.5.1	/usr/local/lib/R/site-library
GeneOverlap	1.46.0	/usr/local/lib/R/site-library
generics	0.1.4	/usr/local/lib/R/site-library
GENIE3	1.32.0	/usr/local/lib/R/site-library
GenomeInfoDb	1.46.2	/usr/local/lib/R/site-library
GenomicRanges	1.62.1	/usr/local/lib/R/site-library
gert	2.3.1	/usr/local/lib/R/site-library
GetoptLong	1.1.1	/usr/local/lib/R/site-library
ggbeeswarm	0.7.3	/usr/local/lib/R/site-library
ggdist	3.3.3	/usr/local/lib/R/site-library
ggforce	0.5.0	/usr/local/lib/R/site-library
ggfun	0.2.0	/usr/local/lib/R/site-library
ggiraph	0.9.6	/usr/local/lib/R/site-library
ggnewscale	0.5.2	/usr/local/lib/R/site-library
ggplot2	4.0.3	/usr/local/lib/R/site-library
ggplotify	0.1.3	/usr/local/lib/R/site-library
ggpubr	0.6.3	/usr/local/lib/R/site-library
ggraph	2.2.2	/usr/local/lib/R/site-library
ggrastr	1.0.2	/usr/local/lib/R/site-library
ggrepel	0.9.8	/usr/local/lib/R/site-library
ggridges	0.5.7	/usr/local/lib/R/site-library
ggsci	5.0.0	/usr/local/lib/R/site-library
ggsignif	0.6.4	/usr/local/lib/R/site-library
ggtangle	0.1.2	/usr/local/lib/R/site-library
ggtree	4.0.5	/usr/local/lib/R/site-library
ggvenn	0.1.19	/usr/local/lib/R/site-library
gh	1.6.0	/usr/local/lib/R/site-library
gitcreds	0.1.2	/usr/local/lib/R/site-library
GlobalOptions	0.1.4	/usr/local/lib/R/site-library
globals	0.19.1	/usr/local/lib/R/site-library
glue	1.8.1	/usr/local/lib/R/site-library
GO.db	3.22.0	/usr/local/lib/R/site-library
goftest	1.2-3	/usr/local/lib/R/site-library
googledrive	2.1.2	/usr/local/lib/R/site-library
googlesheets4	1.1.2	/usr/local/lib/R/site-library
GOSemSim	2.36.0	/usr/local/lib/R/site-library
